CD_UF,C,2;NM_UF,C,50;SIGLA_UF,C,2;NM_REGIAO,C,20
12;ACRE;AC;Norte
27;ALAGOAS;AL;Nordeste
16;AMAPµ;AP;Norte
13;AMAZONAS;AM;Norte
29;BAHIA;BA;Nordeste
23;CEARµ;CE;Nordeste
53;DISTRITO FEDERAL;DF;Centro-oeste
32;ESP÷RITO SANTO;ES;Sudeste
52;GOIµS;GO;Centro-oeste
21;MARANH«O;MA;Nordeste
51;MATO GROSSO;MT;Centro-oeste
50;MATO GROSSO DO SUL;MS;Centro-oeste
31;MINAS GERAIS;MG;Sudeste
15;PARµ;PA;Norte
25;PARA÷BA;PB;Nordeste
41;PARANµ;PR;Sul
26;PERNAMBUCO;PE;Nordeste
22;PIAU÷;PI;Nordeste
33;RIO DE JANEIRO;RJ;Sudeste
24;RIO GRANDE DO NORTE;RN;Nordeste
43;RIO GRANDE DO SUL;RS;Sul
11;ROND‚NIA;RO;Norte
14;RORAIMA;RR;Norte
42;SANTA CATARINA;SC;Sul
35;S«O PAULO;SP;Sudeste
28;SERGIPE;SE;Nordeste
17;TOCANTINS;TO;Norte
